Episode,Reward,Epsilon
1021,-10.10,0.73613
1022,-10.00,0.73591
1023,-10.10,0.73569
1024,-9.10,0.73547
1025,-10.40,0.73525
1026,-10.30,0.73503
1027,-12.30,0.73481
1028,-10.60,0.73459
1029,-8.20,0.73437
1030,-10.40,0.73415
1031,-11.00,0.73393
1032,-10.10,0.73371
1033,-10.60,0.73349
1034,-18.20,0.73327
1035,-3.70,0.73305
1036,-11.20,0.73283
1037,-10.80,0.73261
1038,3.80,0.73239
1039,-9.20,0.73217
1040,16.20,0.73195
1041,-10.00,0.73173
1042,-8.60,0.73151
1043,-10.00,0.73129
1044,-10.30,0.73107
1045,-10.80,0.73085
1046,-11.70,0.73063
1047,-10.10,0.73041
1048,-10.10,0.73019
1049,-10.20,0.72997
1050,-13.90,0.72975
1051,-12.20,0.72954
1052,-10.10,0.72932
1053,-4.50,0.72910
1054,-10.10,0.72888
1055,-10.00,0.72866
1056,-10.10,0.72844
1057,-9.00,0.72822
1058,-12.20,0.72800
1059,-10.90,0.72779
1060,-2.20,0.72757
1061,-10.00,0.72735
1062,-10.00,0.72713
1063,-22.80,0.72691
1064,-10.00,0.72670
1065,-12.30,0.72648
1066,-4.80,0.72626
1067,-14.50,0.72604
1068,-23.70,0.72582
1069,-10.40,0.72561
1070,-12.20,0.72539
1071,16.20,0.72517
1072,5.20,0.72495
1073,-10.00,0.72474
1074,-16.30,0.72452
1075,1.20,0.72430
1076,-14.80,0.72408
1077,-10.00,0.72387
1078,-10.40,0.72365
1079,-10.40,0.72343
1080,5.80,0.72322
1081,-14.50,0.72300
1082,-10.70,0.72278
1083,5.90,0.72256
1084,-10.60,0.72235
1085,-9.70,0.72213
1086,-12.50,0.72191
1087,4.10,0.72170
1088,-12.80,0.72148
1089,-5.70,0.72126
1090,-12.10,0.72105
1091,-6.30,0.72083
1092,-10.00,0.72062
1093,-10.10,0.72040
1094,-10.70,0.72018
1095,-15.00,0.71997
1096,-11.50,0.71975
1097,-5.50,0.71954
1098,-4.00,0.71932
1099,-10.00,0.71910
1100,-11.30,0.71889
1101,13.20,0.71867
1102,-11.00,0.71846
1103,-11.30,0.71824
1104,-10.90,0.71803
1105,-10.20,0.71781
1106,-13.50,0.71760
1107,-3.60,0.71738
1108,-17.20,0.71716
1109,-10.00,0.71695
1110,-12.50,0.71673
1111,-10.00,0.71652
1112,21.90,0.71630
1113,-15.20,0.71609
1114,-13.10,0.71587
1115,-8.20,0.71566
1116,-7.20,0.71545
1117,-10.00,0.71523
1118,7.80,0.71502
1119,-11.70,0.71480
1120,-2.10,0.71459
1121,-11.60,0.71437
1122,-11.00,0.71416
1123,-10.00,0.71394
1124,-10.00,0.71373
1125,-10.20,0.71352
1126,-12.10,0.71330
1127,-11.60,0.71309
1128,-10.10,0.71287
1129,-12.20,0.71266
1130,-10.00,0.71245
1131,-10.00,0.71223
1132,-3.30,0.71202
1133,-11.80,0.71181
1134,-7.60,0.71159
1135,-20.70,0.71138
1136,-12.10,0.71116
